threshold,model,net_benefit
0.35,ElasticNet C,0.19942307692307698
0.35,ElasticNet D,0.24298076923076922
0.35,XGBoost D (Platt),0.27884615384615385
0.35,Treat all,0.13269230769230772
0.35,Treat none,0
0.36,ElasticNet A,0.11914062500000006
0.36,ElasticNet B,0.16085937500000003
0.36,ElasticNet C,0.19375000000000003
0.36,ElasticNet D,0.23734375
0.36,XGBoost D (Platt),0.27390625
0.36,Treat all,0.11914062500000006
0.36,Treat none,0
0.37,ElasticNet A,0.10515873015873017
0.37,ElasticNet B,0.15126984126984128
0.37,ElasticNet C,0.18551587301587305
0.37,ElasticNet D,0.23291666666666666
0.37,XGBoost D (Platt),0.26970238095238097
0.37,Treat all,0.10515873015873017
0.37,Treat none,0
0.38,ElasticNet A,0.09072580645161293
0.38,ElasticNet B,0.1419758064516129
0.38,ElasticNet C,0.1781451612903226
0.38,ElasticNet D,0.23290322580645162
0.38,XGBoost D (Platt),0.26479838709677417
0.38,Treat all,0.09072580645161293
0.38,Treat none,0
0.39,ElasticNet A,0.07581967213114754
0.39,ElasticNet B,0.13325819672131145
0.39,ElasticNet C,0.17692622950819673
0.39,ElasticNet D,0.23331967213114752
0.39,XGBoost D (Platt),0.2610450819672131
0.39,Treat all,0.07581967213114754
0.39,Treat none,0
0.4,ElasticNet A,0.060416666666666674
0.4,ElasticNet B,0.12166666666666665
0.4,ElasticNet C,0.17124999999999999
0.4,ElasticNet D,0.22250000000000003
0.4,XGBoost D (Platt),0.25375000000000003
0.4,Treat all,0.060416666666666674
0.4,Treat none,0
0.41,ElasticNet A,0.09199152542372883
0.41,ElasticNet B,0.11235169491525432
0.41,ElasticNet C,0.1673305084745763
0.41,ElasticNet D,0.22110169491525428
0.41,XGBoost D (Platt),0.24858050847457624
0.41,Treat all,0.04449152542372897
0.41,Treat none,0
0.42,ElasticNet A,0.08844827586206896
0.42,ElasticNet B,0.1071551724137931
0.42,ElasticNet C,0.16560344827586207
0.42,ElasticNet D,0.21935344827586212
0.42,XGBoost D (Platt),0.24599137931034482
0.42,Treat all,0.028017241379310442
0.42,Treat none,0
0.43,ElasticNet A,0.08478070175438597
0.43,ElasticNet B,0.1006140350877193
0.43,ElasticNet C,0.15760964912280703
0.43,ElasticNet D,0.21842105263157896
0.43,XGBoost D (Platt),0.24537280701754388
0.43,Treat all,0.010964912280701844
0.43,Treat none,0
0.44,ElasticNet A,0.08098214285714285
0.44,ElasticNet B,0.08696428571428572
0.44,ElasticNet C,0.15651785714285713
0.44,ElasticNet D,0.21892857142857142
0.44,XGBoost D (Platt),0.24196428571428572
0.44,Treat all,-0.006696428571428492
0.44,Treat none,0
0.45,ElasticNet A,0.07704545454545454
0.45,ElasticNet B,0.08022727272727276
0.45,ElasticNet C,0.14875
0.45,ElasticNet D,0.21113636363636365
0.45,XGBoost D (Platt),0.23738636363636367
0.45,Treat all,-0.02499999999999991
0.45,Treat none,0
0.46,ElasticNet A,0.07296296296296295
0.46,ElasticNet B,0.07324074074074075
0.46,ElasticNet C,0.14365740740740743
0.46,ElasticNet D,0.20689814814814816
0.46,XGBoost D (Platt),0.23291666666666666
0.46,Treat all,-0.043981481481481455
0.46,Treat none,0
0.47,ElasticNet A,0.06872641509433963
0.47,ElasticNet B,0.07724056603773585
0.47,ElasticNet C,0.13292452830188678
0.47,ElasticNet D,0.2030188679245283
0.47,XGBoost D (Platt),0.22495283018867926
0.47,Treat all,-0.06367924528301877
0.47,Treat none,0
0.48,ElasticNet A,0.06432692307692307
0.48,ElasticNet B,0.07451923076923077
0.48,ElasticNet C,0.13548076923076924
0.48,ElasticNet D,0.20192307692307693
0.48,XGBoost D (Platt),0.22432692307692306
0.48,Treat all,-0.08413461538461531
0.48,Treat none,0
0.49,ElasticNet A,0.03997549019607844
0.49,ElasticNet B,0.07169117647058823
0.49,ElasticNet C,0.128921568627451
0.49,ElasticNet D,0.1978186274509804
0.49,XGBoost D (Platt),0.2190196078431373
0.49,Treat all,-0.10539215686274495
0.49,Treat none,0
0.5,ElasticNet A,0.03875000000000001
0.5,ElasticNet B,0.07624999999999998
0.5,ElasticNet C,0.1225
0.5,ElasticNet D,0.1925
0.5,XGBoost D (Platt),0.21375
0.5,Treat all,-0.12749999999999995
0.5,Treat none,0
0.51,ElasticNet A,0.02354591836734694
0.51,ElasticNet B,0.07451530612244897
0.51,ElasticNet C,0.12137755102040816
0.51,ElasticNet D,0.18757653061224488
0.51,XGBoost D (Platt),0.21091836734693875
0.51,Treat all,-0.15051020408163263
0.51,Treat none,0
0.52,ElasticNet A,0.023333333333333334
0.52,ElasticNet B,0.06604166666666667
0.52,ElasticNet C,0.1171875
0.52,ElasticNet D,0.18427083333333333
0.52,XGBoost D (Platt),0.20322916666666663
0.52,Treat all,-0.17447916666666674
0.52,Treat none,0
0.53,ElasticNet A,0.023111702127659575
0.53,ElasticNet B,0.06460106382978723
0.53,ElasticNet C,0.11138297872340423
0.53,ElasticNet D,0.1761968085106383
0.53,XGBoost D (Platt),0.20757978723404258
0.53,Treat all,-0.19946808510638303
0.53,Treat none,0
0.54,ElasticNet A,0.022880434782608698
0.54,ElasticNet B,0.06309782608695652
0.54,ElasticNet C,0.09875
0.54,ElasticNet D,0.17114130434782607
0.54,XGBoost D (Platt),0.20646739130434782
0.54,Treat all,-0.2255434782608695
0.54,Treat none,0
0.55,ElasticNet A,0.02263888888888889
0.55,ElasticNet B,0.03555555555555555
0.55,ElasticNet C,0.09208333333333331
0.55,ElasticNet D,0.16749999999999998
0.55,XGBoost D (Platt),0.19861111111111107
0.55,Treat all,-0.2527777777777779
0.55,Treat none,0
0.56,ElasticNet A,0.022386363636363635
0.56,ElasticNet B,0.03511363636363636
0.56,ElasticNet C,0.0894318181818182
0.56,ElasticNet D,0.16295454545454544
0.56,XGBoost D (Platt),0.19943181818181818
0.56,Treat all,-0.28125
0.56,Treat none,0
0.5700000000000001,ElasticNet A,0.022122093023255813
0.5700000000000001,ElasticNet B,0.03340116279069767
0.5700000000000001,ElasticNet C,0.08360465116279069
0.5700000000000001,ElasticNet D,0.15337209302325583
0.5700000000000001,XGBoost D (Platt),0.19558139534883717
0.5700000000000001,Treat all,-0.3110465116279071
0.5700000000000001,Treat none,0
