target_prop,n_target,frac_pop_targeted,cases_in_target,frac_cases_in_target,policy_id,policy_label,prevented_cases,prevented_pct_all_cases,scenario_id
0.15000000000000002,120,0.15018773466833543,120,0.26200873362445415,mh_pkg,Mental health package (RR = 0.70),36.00000000000001,0.07860262008733626,phq9_10
0.2,160,0.2002503128911139,160,0.34934497816593885,mh_pkg,Mental health package (RR = 0.70),48.00000000000001,0.10480349344978168,phq9_10
0.25,200,0.2503128911138924,200,0.4366812227074236,mh_pkg,Mental health package (RR = 0.70),60.00000000000001,0.1310043668122271,phq9_10
0.3,240,0.30037546933667086,240,0.5240174672489083,mh_pkg,Mental health package (RR = 0.70),72.00000000000001,0.15720524017467252,phq9_10
0.35000000000000003,280,0.3504380475594493,280,0.611353711790393,mh_pkg,Mental health package (RR = 0.70),84.00000000000001,0.18340611353711794,phq9_10
0.4,320,0.4005006257822278,320,0.6986899563318777,mh_pkg,Mental health package (RR = 0.70),96.00000000000001,0.20960698689956336,phq9_10
0.45,360,0.45056320400500627,360,0.7860262008733624,mh_pkg,Mental health package (RR = 0.70),108.00000000000001,0.23580786026200876,phq9_10
0.5,400,0.5006257822277848,400,0.8733624454148472,mh_pkg,Mental health package (RR = 0.70),120.00000000000001,0.2620087336244542,phq9_10
0.05,40,0.05006257822277847,40,0.11461318051575932,ipvelim,IPV elimination (RR = 1.80),3.6363636363636376,0.010419380046887214,primary
0.1,80,0.10012515644555695,79,0.22636103151862463,ipvelim,IPV elimination (RR = 1.80),8.464285714285724,0.02425296766270981,primary
0.15000000000000002,120,0.15018773466833543,119,0.34097421203438394,ipvelim,IPV elimination (RR = 1.80),14.614035087719293,0.04187402603931029,primary
0.2,160,0.2002503128911139,159,0.45558739255014324,ipvelim,IPV elimination (RR = 1.80),22.519313304721038,0.06452525302212332,primary
0.25,200,0.2503128911138924,199,0.5702005730659025,ipvelim,IPV elimination (RR = 1.80),32.05369127516777,0.09184438760793058,primary
0.3,240,0.30037546933667086,239,0.6848137535816619,ipvelim,IPV elimination (RR = 1.80),42.02197802197803,0.12040681381655596,primary
0.35000000000000003,280,0.3504380475594493,279,0.7994269340974212,ipvelim,IPV elimination (RR = 1.80),52.958333333333314,0.15174307545367713,primary
0.4,320,0.4005006257822278,319,0.9140401146131805,ipvelim,IPV elimination (RR = 1.80),64.81673306772905,0.18572129818833538,primary
0.45,360,0.45056320400500627,349,1,ipvelim,IPV elimination (RR = 1.80),72.9894551845343,0.20913884007029884,primary
0.5,400,0.5006257822277848,349,1,ipvelim,IPV elimination (RR = 1.80),76.76911076443061,0.21996879875195016,primary
0.05,40,0.05006257822277847,40,0.11461318051575932,mh_pkg,Mental health package (RR = 0.70),12.000000000000002,0.0343839541547278,primary
0.1,80,0.10012515644555695,79,0.22636103151862463,mh_pkg,Mental health package (RR = 0.70),23.700000000000003,0.0679083094555874,primary
0.15000000000000002,120,0.15018773466833543,119,0.34097421203438394,mh_pkg,Mental health package (RR = 0.70),35.70000000000001,0.10229226361031521,primary
0.2,160,0.2002503128911139,159,0.45558739255014324,mh_pkg,Mental health package (RR = 0.70),47.70000000000002,0.13667621776504302,primary
0.25,200,0.2503128911138924,199,0.5702005730659025,mh_pkg,Mental health package (RR = 0.70),59.699999999999996,0.17106017191977077,primary
0.3,240,0.30037546933667086,239,0.6848137535816619,mh_pkg,Mental health package (RR = 0.70),71.70000000000002,0.2054441260744986,primary
0.35000000000000003,280,0.3504380475594493,279,0.7994269340974212,mh_pkg,Mental health package (RR = 0.70),83.7,0.23982808022922636,primary
0.4,320,0.4005006257822278,319,0.9140401146131805,mh_pkg,Mental health package (RR = 0.70),95.7,0.27421203438395414,primary
0.45,360,0.45056320400500627,349,1,mh_pkg,Mental health package (RR = 0.70),104.70000000000002,0.30000000000000004,primary
0.5,400,0.5006257822277848,349,1,mh_pkg,Mental health package (RR = 0.70),104.70000000000002,0.30000000000000004,primary
